03:33:20: INFO Received from serial:  KC 
03:33:33: INFO Sent to serial:  Dhelloworld    123 
03:33:33: INFO Received from serial:  R 
03:33:38: INFO Sent to serial:  - 
03:33:38: INFO Received from serial:  R 
03:33:40: INFO Sent to serial:  _ 
03:33:40: INFO Received from serial:  R 
03:33:47: INFO Sent to serial:  _ 
03:33:47: INFO Received from serial:  R 
03:33:48: INFO Sent to serial:  _ 
03:33:48: INFO Received from serial:  R 
03:33:48: INFO Sent to serial:  _ 
03:33:48: INFO Received from serial:  R 
03:33:53: INFO Sent to serial:  D123 
03:33:54: INFO Received from serial:  R 
